Title,Author(s),Publish Year,Subjects
From specification to embedded systems application,"IFIP TC10 Working Conference: International Embedded Systems Symposium (2005 Manaus, Brazil)",2005,"Congresses, Embedded computer systems, Automotive computers, Computer networks, Artificial intelligence, Operating systems (Computers), Software engineering, Information storage and retrieval systems"
"New trends in software methodologies, tools and techniques","International Conference on New Trends in Software Methodologies, Tools and Techniques (5th 2006 Quebec, Canada)",2006,"Congresses, Development, Software engineering, Expert systems (Computer science), Artificial intelligence, Computer software"
Brain-inspired IT II,"Brain IT (2nd 2005 Kitakyushu, Japan)",2006,"Congresses, Brain, Neural networks (Computer science), Neural computers, Artificial intelligence, Neural networks (Neurobiology)"
Artificial intelligence and security in computing systems,"ACS '2002 (2002 Miedzyzdroje, Poland)",2003,"Congresses, Computer systems, Intelligent agents (Computer software), Artificial intelligence, Computer security"
IJCAI-03,"International Joint Conference on Artificial Intelligence (18th 2003 Acapulco, Mexico)",2003,"Congresses, Congresos, Inteligencia artificial, Artificial intelligence"
"Logic, artificial intelligence and robotics","Congress of Logic Applied to Technology (2nd 2001 São Paulo, Brazil), Brazil) Congress of Logic Applied to Technology 2001 (Sao Paulo, Joao Inacio Da Silva Filho",2001,"Artificial intelligence, Congresses, Logic, Symbolic and mathematical, Robotics, Symbolic and mathematical Logic, Computer architecture & logic design, Artificial Intelligence - General, Computers, Logic, Symbolic and mathematic, Computer Books: General"
Artificial neural nets and genetic algorithms,"Artificial Neural Nets and Genetic Algorithms (Conference) (4th 1999 Portorož, Slovenia)",1999,"Medical records, Engineering, Computer science, Data processing, Artificial intelligence, Physics, Operations research, Neural networks (computer science)"
Proceedings,"National Conference on Artificial Intelligence (18th 2002 Edmonton, Alberta, Canada), American Association for Artificial Intelligence (AAAI), American Association for Artificial Intelligence ",2002,"Congresses, Artificial intelligence, Artificial Intelligence, 21st century, Computers, Technology & Industrial Arts, Computer Books: General, Artificial Intelligence - General, General, Computers / Artificial Intelligence"
KII--2008,"Nat︠s︡ionalʹnai︠a︡ konferent︠s︡ii︠a︡ po iskusstvennomu intellektu s mezhdunarodnym uchastiem (11th 2008 Moskva, Russia)",2008,"Artificial intelligence, Congresses"
Computing meaning ; Vol. 2,No name,2001,"Linguistics, Artificial intelligence, Computational linguistics, Semantics, Logic, Semantics, data processing, Formal languages"
Artificial intelligence applications in manufacturing,"Richard Kendall Miller, Richard K. Miller, Terri C. Walker",1988,"Computer integrated manufacturing systems, Artificial intelligence, Artificial Intelligence, Production Engineering, Science/Mathematics, Productique, Intelligence artificielle"
Advances in fuzzy systems and intelligent technologies,"Italian Workshop on Fuzzy Logic (3rd 1999 Genoa, Italy)",2000,"Congresses, Fuzzy logic, Artificial Intelligence"
"Semantics, web and mining","European Web Mining Forum (2005 Porto, Portugal)",2006,"Congresses, Semantic Web, Ontologies (Information retrieval), Data mining, Computer networks, Database management, Computer science, Artificial intelligence, Information storage and retrieval systems, Internet searching"
"Artificial intelligence in education, 1995","World Conference on Artificial Intelligence in Education (7th 1995 August 16-19 Washington, D.C.)",1995,"Congresses, Educational applications, Computer-assisted instruction, Artificial intelligence, Intelligent tutoring systems, Mathematical models, Learning"
Proceedings of the AI91,"American Nuclear Society Topical Meeting on Frontiers in Innovative Computing for the Nuclear Industry (1991 Jackson, Wyoming)",1991,"Congresses, Nuclear industry, Data processing, Artificial intelligence, Industrial applications"
Intelligent networks and intelligence in networks,"IFIP TC6 WG6.7 International Conference on Intelligent Networks and Intelligence in Networks (1997 Paris, France), Dominique Gaïti, Dominique Gaiti",1997,"Congresses, Computer networks, Artificial intelligence, Smart materials, Réseaux d'ordinateurs, Congrès, Intelligence artificielle, Intelligentes Netz, Künstliche Intelligenz, Rechnernetz, Systèmes de télécommunications"
The Fourth Conference on Artificial Intelligence Applications,"Conference on Artificial Intelligence Applications. (4th 1988 San Diego, Calif.)",1988,"Congresses, Computer vision, Robotics, Reasoning, Artificial intelligence, Machine learning"
Proceedings of the 7th International Conference on Intelligent Systems Design and Applications,"International Conference on Intelligent Systems Design and Applications (7th 2007 Rio de Janeiro, Brazil)",2007,"Congresses, Expert systems (Computer science), Artificial intelligence"
Argumentation in multi-agent systems,"ArgMAS 2005 (2005 Utrecht, Netherlands)",2006,"Intelligent agents (Computer software), Congresses, Computer networks, Computer science, Artificial intelligence, Translators (Computer programs), Logic, Intelligent agents (computer software)"
RoboCup 2002,"RoboCup 2002 (2002 Fukuoka, Japan)",2003,"Congresses, Robotics, Computer simulation, Artificial intelligence, Soccer, Robotics in sports"
Learning theory and Kernel machines,"Conference on Computational Learning Theory (16th 2003 Washington, D.C.)",2003,"Congresses, Kernel functions, Machine learning, Computer science, Artificial intelligence, Computer software, Computational learning theory"
Learning with kernels,Bernhard Schölkopf,2001,"Kernel functions, Mathematical optimization, Algorithms, Machine learning, Support vector machines, Computer science, Artificial Intelligence"
Developments in applied artificial intelligence,"International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (15th 2002 Cairns, Qld.)",2002,"Congresses, Industrial applications, Expert systems (Computer science), Artificial intelligence, Expert systems (computer science)"
Advances in conceptual modeling - theory and practice,"International Conference on Conceptual Modeling (25th 2006 Tucson, Ariz.)",2006,"Congresses, Electronic commerce, Database design, Relational databases, Internet in public administration, Geographic information systems, Database management, Computer software, Information storage and retrieval systems, Mathematical geography, Artificial intelligence, Management information systems"
Proceedings of the 2000 IEEE International Symposium on Intelligent Control,"IEEE International Symposium on Intelligent Control (15th 2000 Rio Patras, Greece)",2000,"Congresses, Intelligent control systems, Automatic control, Artificial intelligence"
Diagnosis of active systems,"Gianfranco Lamperti, G. Lamperti, M. Zanella",2003,"Expert systems (Computer science), Testing, Data processing, Artificial intelligence, Science/Mathematics, Expert Systems, Computer Science, Technology, Computers - General Information, Imaging Systems, General, Expert systems (Computer scien, Artificial Intelligence - General, Computers / Artificial Intelligence, Computer Bks - General Information, Expert systems (computer science), Electronic data processing"
The logic of artificial life,"German Workshop on Artificial Life (6th 2004 Bamberg, Germany), German Workshop on Artificial Life 2004, Harald Schaub, Frank Detje, Ulrike Bruggermann",2004,"Congresses, Biological systems, Simulation methods, Computer simulation, Artificial life, Artificial intelligence, Science, Science/Mathematics, General, Biotechnology, Kunstmatige intelligentie"
"6th International Work-Conference on Artificial and Natural Neural Networks, IWANN 2001, Granada, Spain, June 13-15, 2001","International Work-Conference on Artificial and Natural Neural Networks (6th 2001 Granada, Spain)",2001,"Congresses, Connectionism, Neural networks (Computer science), Cognitive neuroscience, Artificial intelligence, Neural networks (Neurobiology), Biologically-inspired computing, Biomimetics, Natural computation, Neural networks (neurobiology), Neural networks (computer science)"
Computational learning theory,"Conference on Computational Learning Theory (14th 2001 Amsterdam, Netherlands)",2001,"Congresses, Computational learning theory, Computer science, Artificial intelligence, Computer software"
Artificial immune systems,"Leandro N. De Castro, Leandro Nunes de Castro, Jonathan Timmis",2002,"Neural networks (Computer science), Computer simulation, Artificial intelligence, Immune system, Computer modelling & simulation, Immunology, Computers, Electronic Data Processing, Neural Computing, Neural Networks, Computers - Other Applications, Computer Books: General, Artificial Intelligence - General, Computer Vision, Artificial Immune Systems, Biologically Inspired Computing, Computational Intelligence, Computers / Artificial Intelligence, Computers-Computer Vision, Evolutionary Computation, Medical-Immunology, Neural networks (Computer scie, Data Processing - General, Neural networks (computer science)"
Proceedings of the twenty-third annual conference of the Cognitive Science Society,Cognitive Science Society. Conference,2001,"Artificial intelligence, Cognition, Cognitive science, Computational linguistics, Congresses, Data processing, Knowledge, Theory of, Problem solving, Theory of Knowledge"
Applications of artificial intelligence to mission planning,Donnie R. Ford,1990,"Exploration, Artificial intelligence"
"1985 ACM Thirteenth Annual Computer Science Conference, March 12-14, 1985, New Orleans Marriott Hotel, New Orleans, Louisiana","ACM Computer Science Conference (13th 1985 New Orleans, La.)",1985,"Congresses, Electronic digital computers, Electronic data processing, Artificial intelligence"
From synapses to rules,"International School on Neural Nets ""E.R. Caianiello"" Fifth Course: From Synapses to Rules: Discovering Symbolic Rules From Neural Processed Data (2002 Erice, Italy)",2002,"Congresses, Neural networks (Computer science), Artificial intelligence, Machine learning, Neural networks (computer science)"
"Intelligent information systems 2002 : proceedings of the IIS' 2002 Symposium, Sopot, Poland, June 3-6, 2002","IIS 2002 Symposium (2002 Sopot, Poland)",2002,"Congresses, Expert systems (Computer science), Artificial intelligence, Expert systems (computer science)"
Control applications in post-harvest and processing technology 2001,"IFAC Workshop on Control Applications in Post-Harvest and Processing Technology (3rd 2001 Tokyo, Japan), Y. Seo, S. Oshita",2002,"Congresses, Crops, Agricultural applications, Artificial intelligence, Postharvest technology"
Fuzzy logic and intelligent technologies in nuclear science and industry,"International FLINS Workshop (3rd 1998 Antwerp, Belgium)",1998,"Congresses, Mathematics, Nuclear physics, Nuclear engineering, Fuzzy logic, Artificial intelligence, Physique nucléaire, Congrès, Mathématiques, Génie nucléaire, Logique floue, Intelligence artificielle, Nuclear engineering, data processing, Nuclear energy"
Advances in visual computing,"International Symposium on Visual Computing (2nd 2006 Tahoe, Lake, Calif. and Nev.)",2006,"Congresses, Visualization, Visual programming (Computer science), Virtual reality, Data processing, Optical pattern recognition, Computer vision, Computer graphics, Artificial intelligence, Computer software, Visual programming (computer science), Visualization, data processing, Visual computing"
Advances in artificial reality and tele-existence,International Conference on Artificial Reality and Tele-existence (16th 2006 Zhejiang University of Technology),2006,"Congresses, Virtual reality, Technological innovations, Human-computer interaction, Virtual computer systems, Computer simulation, Artificial intelligence"
Robotics research,"International Symposium on Robotics Research. (12th 2005 San Francisco, Calif.)",2007,"Robotics, Congresses, Engineering, Automation, Structural control (Engineering), Artificial intelligence, System theory"
"Recognition, analysis, and tracking of faces and gestures in real-time systems","International Workshop on Recognition, Analysis, and Tracking of Faces and Gestures in Real-Time Systems (2001 Vancouver, B.C.), IEEE Computer Engineering, PR&&&&, Institute of Electrical and Electronics Engineers",2001,"Congresses, Image processing, Real-time data processing, Artificial intelligence, Computer Graphics - General, Miscellaneous Software, Computers - Other Applications, Science/Mathematics"
"Proceedings, Fourth Annual Conference: AI, Simulation and Planning in High Autonomy Systems","Conference on AI, Simulation and Planning in High Autonomy Systems. (4th 1993 Tucson, Ariz.)",1992,"Congresses, Computer simulation, Artificial intelligence, Automation"
HCI and Usability for e-Inclusion,Andreas Holzinger,2009,"Medical records, Computer vision, Information systems, Computer simulation, Data processing, Artificial intelligence, Computer science, Human-computer interaction, Medical informatics, Congresses, User-centered system design, Barrierefreiheit, Benutzerfreundlichkeit, Digitale Spaltung, Mensch-Maschine-Kommunikation, Unterstützungssystem (Informatik), Überwindung"
"Logic for programming, artificial intelligence, and reasoning",Andrei Voronkov,2006,"Logic programming, Congresses, Artificial intelligence, Automatic theorem proving"
Computer Vision -- ECCV 2006 (vol. # 3953),,2006,"Optical pattern recognition, Computer vision, Computer graphics, Artificial intelligence"
Intelligent Data Engineering and Automated Learning - IDEAL 2005,James Hogan,2005,"Information storage and retrieval systems, Computer software, Computer science, Artificial intelligence, Database management, Business Intelligence Tools, Exploration de donnees, Bases de donnees, COMPUTERS, Agent intelligent, Congres, Intelligent agents (Computer software), Gestion, Intelligence (AI) & Semantics, Bio-informatique, Informatique, Genie cognitif, Apprentissage automatique, Agents intelligents (Logiciels), Gestion des bases de donnees, Enterprise Applications, Congresses, Data mining, Exploration de donnees (Informatique), Intelligent agents (computer software)"
Functional imaging and modeling of the heart,"Alejandro F. Frangi, Monica Hernandez",2005,"Heart, Diagnostic Imaging, Imaging, Computer Simulation, Congresses, Computer simulation, Diagnosis, Heart Diseases, Methods, Biology, Artificial intelligence, Data processing, Cardiology, Computer vision, Medical Radiology, Heart, imaging"
Soft methods for integrated uncertainty modelling,"Jonathan Lawry, Przemyslaw Grzegorzewski, Maria Angeles Gil",2006,"Soft computing, Mathematical models, Uncertainty, Congresses, Mathematics, Engineering, Engineering mathematics, Artificial intelligence, Fuzzy sets, Probabilities"
Information Theory and Statistical Learning,Frank Emmert-Streib,2009,"Information theory, Statistics, Telecommunication, Artificial intelligence, Computer science"
Distributed Intelligent Systems,Abdellah Bedrouni,2009,"Information systems, Computer science, Computer networks, Computer network architectures, Operating systems (Computers), Artificial intelligence, Intelligent agents (computer software), Electronic data processing, distributed processing, Distributed artificial intelligence, Intelligent agents (Computer software)"
Climbing and walking robots,M. O. Tokhi,2006,"Engineering, Structural control (Engineering), Artificial intelligence, Mechanical engineering, Automation, Robots, industrial"
Functional and Logic Programming,"Masami Hagiya, Philip Wadler",2006,"Logic design, Computer science, Artificial intelligence, Functional programming (Computer science), Congresses, Logic programming, Functional programming (computer science)"
Advances in robot control,Sadao Kawamura,2006,"Control systems, Robots, Mechanics, Structural control (Engineering), Human physiology, Automation, Artificial intelligence, System theory"
Information Processing and Biological Systems,Samuli Niiranen,2011,"Engineering, Physics, Biological models, Artificial intelligence, Bioinformatics, Gene Expression Regulation, Computer Simulation, Information theory in biology, Systems Biology, Biological systems, Systems Theory, Computer simulation, Genetic regulation, System theory"
Datadriven Generation Of Policies,Austin Parker,2014,"Computer algorithms, Artificial intelligence, Database management"
Cooperative Control of Dynamical Systems,Zhihua Qu,2009,"Control engineering systems, Artificial intelligence, Adaptive control systems, Robots, Differentiable dynamical systems, Autonomous robots, Control systems, Intelligent control systems, Motor vehicles, Dynamics"
Machine Learning in Document Analysis and Recognition,Simone Marinai,2008,"Engineering, Engineering mathematics, Artificial intelligence, Machine learning, Documentation, Optical pattern recognition"
Cognitive reasoning,"O. M. Anshakov, Tamas Gergely, Oleg M. Anshakov, Victor K. Finn, Sergei O. Kuznetsov",2006,"Cognitive science, Symbolic and mathematical Logic, Reasoning, Artificial intelligence, Databases & data structures, Information technology industries, Computers, Artificial Intelligence - General, Computers - General Information, Computer Books: General, Computer Science, Information Storage & Retrieval, AI-logics, Computers / Artificial Intelligence, abduction, common sense reasoning, formal inference, formal phylosophy, formal reasoning, fuzzy logic, information systems, many-valued logic, Logic, symbolic and mathematical"
Artificial Intelligence,,2016,Artificial Intelligence
Crystal Society,Max Harms,2016,"science fiction, cyberpunk, space opera, artificial intelligence, singularity, aliens, hard sci-fi"
Multisensor Fusion and Integration for Intelligent Systems,Hernsoo Hahn,2009,"Artificial intelligence, Engineering, Control engineering systems, Electronics, Weights and measures, Intelligent control systems, Signal processing, Sensor networks, Congresses, Multisensor data fusion"
"Universe, human immortality and future human evaluation",Alexander Bolonkin,2011,"Robotics, Biological Evaluation, Cosmology, Longevity, Immortality, Future life, Neural Networks (Computer), Artificial Intelligence, Soul, Human evolution"
Visual Perception for Manipulation and Imitation in Humanoid Robots,Pedram Azad,2009,"Computer vision, Engineering, Artificial intelligence, Robot vision, Robots, Control systems, Humanoider Roboter, Lokalisierung (Robotik), Maschinelles Lernen, Motion Capturing, Objekterkennung, Pose"
Specification and Verification of Multi-agent Systems,Mehdi Dastani,2010,"Software engineering, Electronic data processing, Computer science, Artificial intelligence, Multiagent systems, Computer software, verification, Intelligent agents (computer software), Operating systems (computers)"
Applications Of Evolutionary Computation Evoapplications 2011,Stefano Cagnoni,2011,"Computer networks, Computer vision, Computer science, Artificial intelligence, Evolutionary programming (Computer science), Evolutionary computation, Congresses"
Knowledge Seeker - Ontology Modelling for Information Search and Management,Edward H. Y. Lim,2011,"Engineering, Artificial intelligence, Ontologies (information retrieval), Information storage and retrieval systems, Knowledge management, Machine learning, Data structures (computer science)"
"Advancing Computing, Communication, Control and Management",Qi Luo,2010,"Engineering, Industrial management, Engineering mathematics, Telecommunication, Artificial intelligence, Computational intelligence, Systems engineering, Computers, Congresses, Information technology, Management, Computers, congresses, Information technology, management"
Algebraic Foundations in Computer Science,Werner Kuich,2011,"Mathematical Logic and Formal Languages, Software engineering, Algebra, Symbolic and Algebraic Manipulation, Logic design, Logics and Meanings of Programs, Computer science, Data processing, Programming Languages, Compilers, Interpreters, Artificial intelligence, Artificial Intelligence (incl. Robotics), Congresses, Computer science, mathematics, Algebra, data processing"
Advances in case-based reasoning,"Peter Funk, Pedro A. González Calero",2004,"Expert systems (Computer science), Case-based reasoning, Congresses, Expert systems (computer science), Artificial intelligence"
Interactive Technologies and Sociotechnical Systems,"Hongbin Zha, Zhigeng Pan, Hal Thwaites, Alonzo C. Addison, Maurizio Forte",2006,"Information storage and retrieval systems, Computer graphics, Computer science, Artificial intelligence, Multimedia systems, Virtual reality, Interactive multimedia, Virtual computer systems, Congresses"
Intelligence in communication systems,Finn Arve Aagesen,2004,"Congresses, Telecommunication, Data processing, Expert systems (Computer science), Computer networks, Artificial intelligence, Telematique, Web Services, Dienstverwaltung, Mobile Computing, Telekommunikationsnetz, Reseau d'ordinateurs, Reseaux d'ordinateurs, Congres, Dienstgute, Systeme de communication, Datensicherung, Intelligentes Netz, Kontextbezogenes System"
Environments for multi-agent systems,"Danny Weyns, H. Van Dyke Parunak, Fabien Michel",2005,"Intelligent agents (Computer software), Congresses, Distributed artificial intelligence, Artificial intelligence"
Global Computing,Corrado Priami,2005,"Logic design, Computer science, Software engineering, Computer networks, Operating systems (Computers), Artificial intelligence, Computer programming, Congresses"
Graph-Based Representations in Pattern Recognition,"Francisco Escolano, Mario Vento",2007,"Computational complexity, Computer graphics, Artificial intelligence, Optical pattern recognition, Computer vision, Data structures (Computer science), Congresses, Graph theory, Data processing"
Computer Vision -- ECCV 2006 (vol. # 3954),,2006,"Optical pattern recognition, Computer vision, Computer graphics, Artificial intelligence"
Evolution of Communication and Language in Embodied Agents,Stefano Nolfi,2010,"Computer simulation, Computer science, Artificial intelligence, Natural language processing (computer science), Computational linguistics, Robotics, Evolutionary computation, Natural language processing (Computer science), Intelligent agents (Computer software), Intelligent agents (computer software)"
"Conditionals, information, and inference","Gabriele Kern-Isberner, Wilhelm Rödder, Friedhelm Kulmann",2005,"Computational complexity, Congresses, Uncertainty (Information theory), Computer science, Artificial intelligence"
Multimodal Technologies for Perception of Humans,Rainer Stiefelhagen,2007,"Biometric identification, Computer vision, Computer graphics, Optical pattern recognition, Artificial intelligence, Computer software, Automatic speech recognition, Biometry, Congresses, Identification biométrique, Congrès, Reconnaissance automatique de la parole, Reconnaissance optique des formes (Informatique), Informatique, Technological innovations, Pattern recognition systems, Evaluation, Imaging systems, Human behavior, Observations, Data processing, Social interaction"
RoboCup 2005,Itsuki Noda,2006,"Robotics, Congresses, Computer simulation, Artificial intelligence, Soccer"
Intelligent tutoring systems,Mitsuru Ikeda,2006,"Computer-assisted instruction, Congresses, Intelligent tutoring systems, Information storage and retrieval systems, Education, Computer science, Artificial intelligence, Multimedia systems"
Data warehousing and knowledge discovery,A Min Tjoa,2006,"Data warehousing, Data mining, Congresses, Database searching, Computer networks, Database management, Artificial intelligence, Information storage and retrieval systems, Management information systems"
Developing Concepts in Applied Intelligence,Kishan G. Mehrotra,2011,"Engineering, Artificial intelligence, Intelligent control systems, Computational intelligence, Research, Expert systems (Computer science), Industrial applications"
Semantic Web Services,Dieter Fensel,2011,"Software engineering, Information systems, Computer science, Artificial intelligence, Management information systems, Web services, Semantic web"
Intelligent Open Learning Systems,Przemysław Różewski,2011,"Engineering, Artificial intelligence, Computer-assisted instruction, Learning, System analysis, Expert systems (computer science)"
Intelligent Computer Mathematics,James H. Davenport,2011,"Information systems, Computer science, Database management, Information storage and retrieval systems, Data mining, Artificial intelligence, Mathematics, data processing, Algebra, data processing, Logic, symbolic and mathematical, Knowledge management"
Artificial Intelligence and Computational Intelligence,Hepu Deng,2009,"Biometric identification, Computer simulation, Computer science, Software engineering, Data mining, Optical pattern recognition, Artificial intelligence, Periodicals, Computational intelligence, Künstliche Intelligenz, Kongress, Soft Computing"
High Performance Architecture and Grid Computing,Archana Mantri,2011,"Information systems, Computer science, Software engineering, Information storage and retrieval systems, Computer networks, Artificial intelligence, Computer software, Computer networks, security measures, High performance computing, Electronic systems, Electronic data processing, distributed processing, Congresses, Software architecture, Computational grids (Computer systems), Informatique"
Learning and Intelligent Optimization,Thomas Stützle,2009,"Information storage and retrieval systems, Artificial intelligence, Computer science, Software engineering, Data mining, Congresses, Program transformation (Computer programming), Machine learning, Computer programming"
Computer Networks and Intelligent Computing,K. R. Venugopal,2011,"Information systems, Computer science, Information storage and retrieval systems, Database management, Computer networks, Artificial intelligence, Computer software, Computer networks, congresses, Congresses"
Sprachverarbeitung,Beat Pfister,2008,"Engineering, Translators (Computer programs), Artificial intelligence"
PEACH,"Oliviero Stock, Massimo Zancanaro",2007,"Museum techniques, Interactive multimedia, Museum exhibits, Informatique, REFERENCE, TRAVEL, General, Museum Administration & Museology, Museums, Tours, Points of Interest, BUSINESS & ECONOMICS, Artificial intelligence, Knowledge representation (information theory)"
Database and Expert Systems Applications,"Heinrich C. Mayr, Jiri Lazansky, Gerald Quirchmayr",2001,"Information systems, Computer science, Database management, Information storage and retrieval systems, Management information systems, Multimedia systems, Artificial intelligence, Expert systems (computer science), Congresses, Expert systems (Computer science)"
Methods and applications of artificial intelligence,George A. Vouros,2004,"Congresses, Artificial intelligence"
"Logic for programming, artificial intelligence, and reasoning","Matthias Baaz, Andrei Voronkov",2002,"Logic programming, Congresses, Artificial intelligence, Automatic theorem proving"
Journal on Data Semantics I,"S. Spaccapietra, Karl Aberer",2003,"Database management, Information storage and retrieval systems, Artificial intelligence, Robotics, Programming languages (Electronic computers), Computer science, Management information systems, Information retrieval, Semantics, Data structures (computer science), Computer Communication Networks, Information systems, Information Storage and Retrieval, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Business Information Systems"
Artificial intelligence for society,Karamjit S. Gill,1986,"Gesellschaft, Social aspects, Aspect social, Kongress, Kunstliche Intelligenz, Intelligence artificielle, Artificial intelligence, Aufsatzsammlung, Künstliche Intelligenz"
Inside computer understanding,Christopher K. Riesbeck,1980,"Computer programming, Artificial intelligence, Computer programs, design, Intelligence artificielle, Programmation (Informatique), REFERENCE, Questions & Answers"
Computers In Medical Activity,Edward Kacki,2009,"Medicine, Engineering, Biomedical engineering, Artificial intelligence, Data processing, Medical Informatics, Medicine, data processing"
Security And Intelligent Information Systems,Pascal Bouvry,2012,"Computer security, Artificial intelligence, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Computer science, Data encryption (Computer science), Computer network architectures, Data protection, Information systems, Computer Systems Organization and Communication Networks, Information Systems and Communication Service, Systems and Data Security, Data Encryption"
Computer aided verification,Ed Brinksma,2002,"Logic design, Software engineering, Computer science, Artificial intelligence, Computer software, Verification, Congresses, Integrated circuits"
The Semantic Web-- ASWC 2006,Riichiro Mizoguchi,2006,"Congresses, Semantic Web, Web site development, Database management, Logic design, Computer networks, Information storage and retrieval systems, Artificial intelligence, Multimedia systems, Semantic web"
Theorem Proving in Higher Order Logics,Tom Melham,2005,"Logic design, Artificial intelligence, Computer science, Software engineering, Automatic theorem proving, Congresses, Logic, symbolic and mathematical"
Web Information Systems - WISE 2006 Workshops,"Ling Feng, Ruhua Huang, Guoren Wang",2006,"Computer networks, Database management, Artificial intelligence, Information storage and retrieval systems, Multimedia systems, Systems engineering, Congresses, Web databases"
Evolutionary computation in practice,Tina Yu,2008,"Evolutionary computation, Computer science, Artificial intelligence, Engineering, Engineering mathematics"
Intelligent Technologies For Information Analysis,Ning Zhong,2010,"Information storage and retrieval systems, Distribution (Probability theory), Computer science, Artificial intelligence, Intelligent agents (computer software), Data mining"
Proceedings,"International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (11th 1998 Castellón, Spain)",1998,"Congresses, Artificial intelligence, Industrial applications"
Tasks and methods in applied artificial intelligence,"International Conference on Industrial & Engineering Applications of Artificial Intelligence & Expert Systems (11th 1998 Castellón, Spain)",1998,"Congresses, Artificial intelligence, Expert systems (Computer science), Industrial applications"
Social order in multiagent systems,"Rosaria Conte, Chrysanthos Dellarocas",2001,"Intelligent agents (Computer software), Congresses, Artificial intelligence, Intelligent agents (computer software)"
Formalizing common sense,"McCarthy, John",1989,"Artificial intelligence, Common sense, Commonsense, Commonsense reasoning"
Intelligent systems and soft computing for nuclear science and industry,"International FLINS Workshop (2nd 1996 Mol, Belgium)",1996,"Congresses, Mathematics, Nuclear physics, Nuclear engineering, Fuzzy logic, Artificial intelligence"
Object-oriented artificial intelligence using C[plus plus],Kim W. Tracy,1997,"C++ (Computer program language), Artificial intelligence, Data processing, Object-oriented programming (Computer science), Object-oriented programming (computer science), C plus plus (computer program language), Artificial intelligence -- Data processing"
Careers in Artificial Intelligence,Robert Greenberger,2009,"Artificial intelligence, Vocational guidance, Vocational guidance, juvenile literature, Artificial intelligence, juvenile literature"
In search of the person,Michael A. Arbib,1985,"Cognition, Cognitive science, Neuropsychology, Artificial intelligence, Business Intelligence Tools, Consciousness, COMPUTERS, Enterprise Applications, Intelligence (AI) & Semantics, Artificial Intelligence, Science, philosophy, Self"
Analysis Of Fuzzy Info,James C. Bezdek,1987,Artificial intelligence
Artificial intelligence,"International Conference on Artificial Intelligence: Methodology, Systems, Applications (7th 1996 Sozopol, Bulgaria)",1996,"Artificial intelligence, Methodology, Intelligence artificielle, Congresses, Congrès"
Wittgenstein's Remarks on the Foundations of AI,Stuart Shanker,1998,"Wittgenstein, ludwig, 1889-1951, Artificial intelligence"
Intelligent systems,Robert J. Schalkoff,2009,"Intelligent control systems, Intelligent agents (Computer software), Artificial intelligence, Expert systems (Computer science)"
Creating Internet Intelligence,Ben Goertzel,2001,"Cyberspace, Artificial intelligence, Internet"
Object-oriented neural networks in C [plus plus],Joey Rogers,1997,"Object-oriented programming (Computer science), Neural networks (Computer science), C++ (Computer program language), C., C plus plus (computer program language), Object-oriented programming (computer science), Neural networks (computer science), Computer programming, Robotics & artificial intelligence, Artificial intelligence, Programming languages, Software engineering"
"Fril, fuzzy and evidential reasoning in artificial intelligence","Baldwin, J. F., James Frederick Baldwin, T.P. Martin, Bruce W. Pilsworth",1995,"Logic programming, Fuzzy systems, Artificial intelligence, Computer architecture & logic design, Fuzzy set theory, High level programming languages"
Fuzzy logic and intelligent technologies in nuclear science,"International FLINS Workshop (1st 1994 Mol, Belgium), Da Ruan, Pierre D'Hondt, Paul Govaerts",1994,"Congresses, Mathematics, Nuclear physics, Nuclear engineering, Fuzzy logic, Artificial intelligence, Fuzzy set theory, Industrial applications of scientific research & technological innovation, Nuclear power & engineering, Engineering - Nuclear, Applied Artificial Intelligence, Nuclear Engineering (General), Technology, Technology & Industrial Arts, Science/Mathematics, Engineering - Electrical & Electronic"
Artificial intelligence,Derek Partridge,1986,"Software engineering, Artificial intelligence, Software Engineering, Genie logiciel, Kunstliche Intelligenz, Softwareentwicklung, Logiciels, Programmierung, Intelligence artificielle, Computer software"
Alien intelligence,Stuart Holroyd,1979,"Artificial intelligence, Parapsychology, Psychology, comparative"
Handbook on Big Data and Machine Learning in the Physical Sciences,Surya Kalidindi,2019,"Physical sciences, Big data, Artificial intelligence"
Explanatory Nonmonotonic Reasoning,Alexander Bochman,2005,Artificial intelligence
Progress in Robotics and Intelligent Systems,"James Leonard, George W. Zobrist",1995,"Robotics, Artificial intelligence, Logic machines, Simulation methods"
Is Artificial Intelligence Racist?,Arshin Adib-Moghaddam,2023,"Science and state, Discrimination, Artificial intelligence, Comparative government"
"HBR's 10 Must Reads on AI (with Bonus Article How to Win with Machine Learning by Ajay Agrawal, Joshua Gans, and Avi Goldfarb)","Harvard Business Review, Davenport, Thomas H., Marco Iansiti, Tsedal Neeley, Ajay Agrawal",2023,"Machine learning, Human-computer interaction, Strategic planning, Artificial intelligence"
Artificial Intelligence of Health-Enabled Spaces,Fadi Al-Turjman,2023,"Health services administration, Computer networks, Service industries, Information technology, Machine theory, System design, Artificial intelligence"
Generative AI for Business,Matt White,2024,"Artificial intelligence, Strategic planning"
